se raser,to shave,Pronominaux,
se coiffer,to do one's hair,Pronominaux,
s'habiller,to get dressed,Pronominaux,
se reposer,to rest,Pronominaux,
se connecter,to log on / connect,Pronominaux,
s'amuser,to have fun,Pronominaux,
s'informer,to inform oneself,Pronominaux,
se déshabiller,to undress,Pronominaux,
se coucher,to go to bed,Pronominaux,
s'endormir,to fall asleep,Pronominaux,
la dernière fois qu'on s'est rencontré,the last time we met,Phrases,se rencontrer
la semaine dernière,last week,Phrases,
se rencontrer,to meet (each other),Verbs,
pour me reposer,to rest / in order to rest,Phrases,
la gestion,management,Work & Tech,
une mise à pied,a layoff,Work & Tech,many people at once
ma patronne,my boss (female),Work & Tech,
restreint,constricted / limited,Words,
on est allé,we went,Passé composé,
on y va,let's go / we're going,Phrases,
les trippeux de randonnée,hiking enthusiasts,Sports & Life,Québécois
ski rando,backcountry skiing,Sports & Life,randonnée
dans l'Ouest,in the West,Places,
régions plus éloignées,more remote regions,Places,
difficiles d'accès,hard to access / remote,Phrases,
le réchauffement climatique,global warming,Nature,
une façon d'assurer,a way to ensure,Phrases,assurer = to ensure
le talon,heel,Body,
l'orteil,toe,Body,
quand j'avais 2 ans,when I was 2 years old,Phrases,âge uses avoir in French
garder,to keep / to retain,Verbs,
serré,tight / constricted (financially),Words,
ça appartient à,it belongs to,Phrases,
détenu par,owned by,Phrases,
elle vient juste de se marier,she just got married,Phrases,venir de + infinitif
mes condoléances,my condolences,Phrases,
une pelle,a shovel,Objects,
tu t'es couché tard ?,did you go to bed late?,Phrases,
un balai à neige,a snow brush,Objects,
déneiger,to clear snow (from a car or stairs),Verbs,
le cancer du sein,breast cancer,Health,
le cancer des poumons,lung cancer,Health,
les funérailles,the funeral,Words,always plural
j'étais l'animateur,I was the host,Phrases,animateur = host/MC
un webinaire,a webinar,Work & Tech,
un sommet,a summit,Words,
un congrès,a conference / congress,Words,
un discours,a speech,Words,
une présentation,a presentation,Words,
je ne connaissais pas sa mère,I didn't know his/her mother,Phrases,connaître + noun
ont assisté,attended,Verbs,assister à ≠ attendre
des tendances,trends,Words,
des nouvelles,news,Words,
un suivi,a follow-up,Work & Tech,
une date de lancement,a release date,Work & Tech,
la présentation la plus impressionnante que j'ai faite,the most impressive presentation I gave,Phrases,superlative
des employeurs potentiels,potential employers,Work & Tech,
dans mon réseau,in my network,Work & Tech,
dans mon domaine,in my field,Work & Tech,
je me souviens,I remember,Verbs,se souvenir
il s'était disputé,he had argued / had a fight,Phrases,plus-que-parfait
des sièges au parlement,seats in parliament,Words,
le jour de l'an,New Year's Day,Words,
je me suis beaucoup amélioré,I improved a lot,Phrases,s'améliorer
axé sur,focused on,Phrases,
le contenu dépérit,the content deteriorates,Phrases,dépérir = to wither/decay
diminuer,to decrease / to diminish,Verbs,
se détériorer,to deteriorate,Verbs,
distraits,distracted,Words,
ça ne te demande pas de penser,it doesn't require you to think,Phrases,
une tendance,a trend,Words,
un débat,a debate,Words,
furieuse / fâchée,furious / angry,Words,
un bénéfice,a benefit,Words,
je bénéficie,I benefit,Verbs,bénéficier de
pour se disputer,to argue,Phrases,
une tragédie,a tragedy,Words,
perturbant,disturbing,Words,
sur lesquelles j'ai du pouvoir,over which I have power,Phrases,
le système nerveux,the nervous system,Health,
un avocat,an avocado,Food,also means lawyer
amer,bitter,Food,
abrupte,stiff / abrupt,Words,
les fruits de mer,seafood / shellfish,Food,
les crustacés,shellfish / crustaceans,Food,
le poivre,pepper (spice),Food,
le poivron,bell pepper,Food,
les vertèbres,vertebrae,Health,
toute la journée,the whole day / all day,Phrases,
un rayon X,an X-ray,Health,
la publicité,advertisement / ad,Words,
un nerf,a nerve,Health,
une incitation,an incentive,Words,
conscient,aware / conscious,Words,
la religion,religion,Words,
la philosophie,philosophy,Words,
la science,science,Words,
un savoir,a knowledge,Words,transmitted orally
le plus ancien / le plus vieux,the oldest,Phrases,
un monopole du savoir,a monopoly on knowledge,Phrases,
l'espace public,the public space,Words,
une usine,a factory,Words,
le code civil,the civil code,Words,
les lois,the laws,Words,
les matériaux,materials,Words,
le coût,the cost,Words,
recréer la roue,to reinvent the wheel,Phrases,
repartir à zéro,to start from scratch,Phrases,
ajouter des couches à l'oignon,to add layers to the onion,Phrases,build incrementally
le mode de pensée par défaut,the default way of thinking,Phrases,
ils remettent les choses en question,they question things,Phrases,remettre en question
profondément,deeply,Words,
horizontalement,horizontally,Words,
la bonne approche,the right approach,Phrases,
le choc des idées,the clash of ideas,Phrases,
une mise à jour,an update,Work & Tech,
surpasser,to surpass / outperform,Verbs,
l'information tacite,tacit knowledge / implicit information,Words,
nos clients,our customers,Work & Tech,
en ventes,in sales,Work & Tech,
le service client,customer service,Work & Tech,
consigner l'information,to record / log information,Work & Tech,
on enregistre,we record,Work & Tech,
un résumé,a summary,Words,
une synthèse,a synthesis / summary,Words,
une base de données,a database,Work & Tech,
beaucoup de données,a lot of data,Work & Tech,
des incitations,incentives,Words,
un curseur,a cursor / slider,Words,
interagit,interacts,Verbs,interagir
une thermopompe,a heat pump,Objects,
des dossiers,folders / files,Work & Tech,
des rétroactions,feedback,Work & Tech,also: commentaires
intégrer,to embed / to integrate,Verbs,
intégré,embedded / integrated,Words,
la transcription,the transcript,Work & Tech,
transcrire,to transcribe,Verbs,ça transcrit automatiquement
la conversion,the conversion,Words,≠ conversation
les gens avec qui je travaille,the people I work with,Phrases,
je serai là déjà,I'll already be there,Phrases,futur simple
au mois d'avril,in the month of April,Phrases,
fin de mars,end of March,Phrases,
le premier avril,April 1st,Phrases,1er = premier
debout,standing up,Words,
le chiropraticien,the chiropractor,Health,chiro (informal)
les ajustements ne durent pas,the adjustments don't last,Phrases,
pas alignées,not aligned / out of alignment,Phrases,
le nerf vague,the vagus nerve,Health,
qui sont endommagés,that are damaged,Phrases,
ton propre sang,your own blood,Phrases,
réviser,to review,Verbs,
ajouter,to add,Verbs,
l'IA,AI (artificial intelligence),Work & Tech,intelligence artificielle
un changement,a change,Words,
une expérimentation,an experiment / experimentation,Words,
faire le ménage,to clean / do housework,Phrases,
s'enlever la vie,to commit suicide,Phrases,Québécois expression
elle avait 10 ans,she was 10 years old,Phrases,âge uses avoir in French
des disputes,arguments / conflicts,Words,
des loisirs,hobbies / leisure activities,Words,also: passe-temps
des passe-temps,hobbies / pastimes,Words,
une imprimante,a printer,Objects,
physique,physical (as in physical product),Words,
ça me manque,I miss it,Phrases,subject is the thing missed
s'inquiéter,to worry,Verbs,
inquiet / inquiète,worried,Words,m/f forms
les médicaments,medicine / medication,Health,≠ médecine (the field)
lever la voix,to raise one's voice,Phrases,
fiable,reliable,Words,
consciencieux,conscientious,Words,
un sofa,a couch,Objects,Québécois: sofa
écouter la télé,to watch TV,Phrases,écouter in Québécois French
des habitudes,habits,Words,
se coucher tard,to go to bed late,Phrases,
requis,required,Words,
un taux,a rate,Words,
réversible,reversible,Words,
une chirurgie,a surgery,Health,also: opération
une opération,an operation / surgery,Health,
ce que j'ai,what I have,Phrases,
des autoroutes,highways,Words,
une peine,suffering / sorrow,Words,
la douleur,pain,Health,
cultivé,cultured / educated,Words,also: éduqué
rural,rural,Words,
ils dépensent,they spend,Verbs,dépenser
des hôpitaux,hospitals,Health,plural of hôpital
des clôtures,fences,Objects,
séparés,separated / disconnected,Words,also: déconnectés
disparate,disparate / heterogeneous,Words,also: hétérogène
hétérogène,heterogeneous,Words,
faux / fausses,fake / false,Words,m/f forms
artificiel,artificial,Words,
superficiel,superficial,Words,
authentique,authentic,Words,
une scène de film,a movie scene,Words,
pas de savoirs,no knowledge,Phrases,
des colonnes,columns,Objects,
les services publics,public services,Words,plural: public services
néerlandais,Dutch,Places,
les années 60,the 60's,Phrases,
une épicerie,a grocery store,Daily Life,
un dépanneur,a convenience store,Daily Life,Québécois
des retraités,retired people,People,
le coude,elbow,Body,
les globules blancs,white blood cells,Health,
les globules rouges,red blood cells,Health,
j'ai mal à la tête,I have a headache,Health,
étourdi,dizzy,Health,
être couché,to be lying down,Phrases,
les nerfs,nerves,Health,plural of nerf
les veines,veins,Health,
les artères,arteries,Health,
une série d'images,a series of images,Words,
affectées,compromised / affected,Words,also: à risque
à risque,at risk / compromised,Phrases,
la liberté,freedom,Words,
un permis de conduire,a driver's license,Daily Life,
coincé,trapped / stuck,Words,
s'occuper,to get busy / to keep oneself occupied,Verbs,m'occuper
avoir de l'empathie,to have empathy,Phrases,empathie (noun)
être empathique,to be empathetic,Phrases,
il mentait,he lied / was lying,Imparfait,mentir
un mensonge,a lie,Words,
il volait,he stole / was stealing,Imparfait,voler
agressif,aggressive,Words,
narcissique,narcissist / narcissistic,Words,
avoir tort,to be wrong,Phrases,il a tort = he's wrong
charmant,charming,Words,also: charismatique
charismatique,charismatic,Words,
des menaces,threats,Words,
sur le mur,on the wall,Phrases,
en même temps,at the same time,Phrases,
bélier,Aries / ram,Words,zodiac sign
un prélancement,a soft launch,Work & Tech,
l'inconfort,discomfort,Health,
imposé,taxed / imposed,Words,
un équilibre,a balance,Words,
les politiques,the policies,Words,
réglementé,regulated,Words,confirmé
l'ancienneté,seniority / tenure,Words,le plus ancien = the most senior
des changements bénéfiques,beneficial changes,Phrases,
diriger,to lead,Verbs,
les choix,choices,Words,
à la fin,at the end,Phrases,not 'au fin'
un milliard,a billion,Words,1 billion (EN) = 1 milliard (FR)
faire faillite,to go bankrupt,Phrases,
l'immobilier,real estate,Work & Tech,
élu,elected,Words,
un handicap invisible,an invisible disability,Health,
à pic,steep,Words,
PDG,CEO,Work & Tech,président directeur général
tendu,stiff / tense,Words,
une lettre de motivation,a cover letter,Work & Tech,
mon CV,my resume / CV,Work & Tech,
avis sur la question,opinion on the matter,Phrases,
elle est enceinte,she is pregnant,Phrases,
engager,to hire,Verbs,also: embaucher
embaucher,to hire,Verbs,
la francisation,francisation (converting to French),Words,
une révision,a review,Words,
la recherche d'emploi,job search,Work & Tech,
une candidature,a job application,Work & Tech,
filtrer,to filter,Verbs,
beaucoup de roulement,a lot of turnover,Phrases,
à distance,remote / at a distance,Words,
reçu,received,Words,recevoir
reporté,postponed,Words,reporter = to postpone
ça aurait été mieux,it would have been better,Phrases,conditionnel passé
ça serait mieux,it would be better,Phrases,conditionnel
le perfectionnisme,perfectionism,Words,
il manque la confiance,he lacks confidence,Phrases,manquer de
une blessure,an injury / wound,Health,
j'avais mal au cou,I had neck pain,Health,
le lendemain,the next day,Phrases,
une posture fermée,a closed posture,Phrases,
son anniversaire,their birthday,Phrases,
tu réagis,you react,Verbs,réagir
affecter,to affect,Verbs,
blessée,injured / hurt (f.),Words,
ses attentes,their expectations,Phrases,
avant,before,Words,
le rejet,rejection,Words,
bons skieurs,good skiers,Sports & Life,
j'ai prêté,I lent,Passé composé,prêter
je dois le ramasser,I have to pick it up,Phrases,ramasser
il faut que je le ramasse,I have to pick it up,Phrases,subjonctif
mauvais,bad,Words,
t'as pas tort,you're not wrong,Phrases,
tu te trompes pas,you're not wrong / you're not mistaken,Phrases,se tromper
le harcèlement,harassment,Words,
beaucoup de,a lot of,Phrases,beaucoup d' before vowel
elle avait peur d'être abandonnée,she was afraid of being abandoned,Phrases,
une blessure d'abandon,an abandonment wound,Health,
le contrôle,control,Words,
une illusion de sécurité,an illusion of security,Phrases,
se protéger,to protect oneself,Pronominaux,
pousser mes limites,to push my limits,Phrases,
une institution,an institution,Words,
aligné,aligned,Words,aligné avec la narrative
la narrative,the narrative,Words,
l'intrigue,the plot,Words,
l'idée centrale,the central idea,Phrases,also: l'idée principale
le masculinisme,masculinism,Words,
misogyne,misogynistic,Words,
traditionnelle,traditional (f.),Words,m: traditionnel
le contraire,the opposite,Words,also: l'opposé
l'opposé,the opposite,Words,
le woke movement,the woke movement,Words,anglicism
mon opinion,my opinion,Phrases,
mon avis,my opinion / view,Phrases,more idiomatic than 'opinion'
un rôle modèle,a role model,Words,
les agressions sexuelles,sexual assaults,Words,
une distinction,a distinction,Words,
vulnérable,vulnerable,Words,
tomber dans l'extrême,to fall into extremism,Phrases,
les frontières des comtés électifs,the borders of electoral districts,Phrases,gerrymandering context
ça a évolué,it has evolved,Phrases,évoluer
autoritaire,authoritarian,Words,
ma perception,my perception,Words,
il nous a prévenu,he warned us,Phrases,prévenir
la cancel culture,cancel culture,Words,anglicism
le racisme systémique,systemic racism,Words,
en vigueur,in force / in effect,Phrases,
instrumentalisé,weaponized / instrumentalized,Words,
seul,lonely / alone,Words,
pressé,rushed / in a hurry,Words,
épuisé,exhausted,Words,
absorbé,absorbed,Words,
une frontière,a border,Words,
enlevé,taken / kidnapped,Words,
des effets secondaires,side effects,Health,
un personnage,a character,Words,
pertinent,relevant,Words,
de façon critique,critically,Phrases,
passer des entrevues,to do interviews,Phrases,
un poste de cadre,an executive position,Work & Tech,
mener l'entrevue,to lead the interview,Phrases,
les critères,the criteria,Words,
le charisme,charisma,Words,
cocher,to check (a box),Verbs,
des compétences,skills,Work & Tech,
dans le passé,in the past,Phrases,
un accomplissement,an accomplishment,Words,
son parcours,their journey / career path,Work & Tech,
une fois,a time / once,Phrases,
un désaccord,a disagreement,Words,
une mésentente,a disagreement / misunderstanding,Words,
un écart,a gap,Words,
la plus chère erreur,the most expensive mistake,Phrases,
l'honnêteté,honesty,Words,
être ouvert aux critiques,to be open to criticism,Phrases,
des employés à ma charge,employees under my responsibility,Phrases,
gérer,to manage,Verbs,
trop de paroles,too much talking,Phrases,
mon directeur,my director / boss,Work & Tech,
la clarté,clarity,Words,
direct,direct,Words,
efficace,efficient / effective,Words,
résoudre,to solve / resolve,Verbs,
le plus vite possible,as fast as possible,Phrases,
impatient,impatient,Words,
ça n'a pas rapport,it's not related / unrelated,Phrases,Québécois
des opportunités,opportunities,Words,
la honte,shame,Words,
le momentum,momentum,Words,
des contraceptifs,contraceptives,Health,
